edad,ingreso_mensual,gasto_mensual,deuda_total,score_crediticio,antiguedad_meses,frecuencia_compra,ultima_compra_dias,num_productos,genero_Masculino,genero_Otro,region_Norte,region_Sur,estado_civil_Divorciado,estado_civil_Soltero,uso_app_Bajo,uso_app_Medio,tipo_plan_Estandar,tipo_plan_Premium,canal_registro_Tienda,canal_registro_Web,dia_semana_registro_Jueves,dia_semana_registro_Lunes,dia_semana_registro_Martes,dia_semana_registro_Miercoles,dia_semana_registro_Sabado,dia_semana_registro_Viernes,abandono
66.0,924305.7472322332,524088.3030548673,2448144.59437761,455.4066803971015,101.0,6.0,356.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
51.0,1384686.8045063824,314259.7514738053,1620568.6493922418,575.0485081141376,65.0,8.0,307.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
48.0,804753.3494655648,387192.3161417584,5395039.790814385,770.7169035840194,1.0,12.0,232.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
54.0,436903.2135736404,417328.6018564141,2999349.52775631,442.7226709665644,4.0,3.0,165.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31.0,740856.0683665371,490961.1912529536,1637710.6682458203,468.1884028913127,14.0,5.0,283.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
76.0,824781.01908263,718394.7473319123,1828219.2030805112,719.8779860670375,41.0,12.0,294.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35.0,278530.6529734169,525501.2301344653,2769057.903609996,650.093652774354,25.0,18.0,349.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
51.0,511850.5939073092,500820.4494351239,1457150.40897373,514.1981177431346,72.0,11.0,214.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
37.0,804753.3494655648,459129.61376721086,1501600.536786897,721.8226363645034,99.0,4.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
44.0,480596.7946941346,483523.2298910325,907748.5954352544,522.3876319132593,66.0,12.0,217.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
61.0,521229.9754285976,132563.6470623153,3755524.294016918,407.50435079854566,118.0,3.0,11.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
32.0,725264.1071473432,731303.2720187269,1826564.87492691,848.5778229767061,58.0,11.0,224.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27.0,1058150.4599643163,407984.3767985447,1819410.494051495,542.4644565558339,108.0,14.0,300.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
41.0,714571.5946593273,366703.8427585428,2048595.1041301407,557.7918018489695,24.0,19.0,75.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65.0,872990.9764299585,610561.1818951437,2654917.782618254,597.0513961280293,73.0,8.0,127.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,781830.7677884438,571943.665036608,2129768.2919417066,736.4705449111517,28.0,9.0,67.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
69.0,520533.3934566811,493344.6331472048,2832249.5291205347,709.2876043158116,72.0,11.0,205.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
33.0,621032.4158875039,489416.7970648189,3313026.7934718486,603.465703825982,38.0,11.0,177.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
71.0,498437.1939436826,401288.0715450101,1783149.1685282337,649.1516810879671,60.0,14.0,10.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
69.0,397263.7180109434,219341.74482044188,2387446.9696168974,747.902137884323,116.0,10.0,340.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
66.0,593779.3605953902,444435.0057947269,1876896.2507927225,669.162544076071,44.0,17.0,343.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
